id,pressure [MPa],mass_flux [kg/m2-s],x_e_out [-],D_e [mm],D_h [mm],length [mm],chf_exp [MW/m2],author_Beus,author_Inasaka,author_Janssen,author_Kossolapov,author_Mortimore,author_Peskov,author_Richenderfer,author_Thompson,author_Weatherhead,author_Williams,geometry_annulus,geometry_plate,geometry_tube
4,13.79,686.0,0.009961472,11.1,11.1,457.0,2.8,0,0,0,0,0,0,0,1,0,0,0,0,1
7,18.0,750.0,-0.08288041,10.0,10.0,1650.0,2.2,0,0,0,0,0,1,0,0,0,0,0,0,1
10,,,-0.049602553,1.9,1.9,152.0,3.2,0,0,0,0,0,0,0,1,0,0,0,0,1
12,6.89,7500.0,0.004052675,,12.8,1930.0,4.8,0,0,0,0,0,0,0,1,0,0,0,0,1
23,15.51,1355.0,0.04017249,5.6,15.2,2134.0,2.1,1,0,0,0,0,0,0,0,0,0,1,0,0
27,13.79,,-0.12328255,11.1,11.1,457.0,3.5,0,0,0,0,0,0,0,0,1,0,0,0,1
34,13.79,1275.0,0.074834995,,7.8,591.0,2.4,0,0,0,0,0,0,0,1,0,0,0,0,1
36,13.79,1655.0,-0.081021175,7.7,7.7,457.0,3.8,0,0,0,0,0,0,0,1,0,0,0,0,1
39,13.79,5588.0,-0.07005166,5.7,5.7,625.0,3.3,0,0,0,0,0,0,0,1,0,0,0,0,1
43,18.96,2699.0,-0.13919374,1.9,1.9,696.0,2.2,0,0,0,0,0,0,0,1,0,0,0,0,1
44,15.51,2197.0,-0.012890587,1.9,,696.0,2.5,0,0,0,0,0,0,0,1,0,0,0,0,1
45,10.34,6049.0,-0.110281974,10.3,10.3,762.0,10.8,0,0,0,0,0,0,0,1,0,0,0,0,1
50,,1356.0,0.041486934,7.7,,,2.6,0,0,0,0,0,0,0,1,0,0,0,0,1
56,18.27,833.0,-0.116998166,3.0,3.0,150.0,7.1,0,0,0,0,0,0,0,1,0,0,0,0,1
57,15.17,1335.0,0.05735564,9.5,9.5,1836.0,2.9,0,0,0,0,0,0,0,0,0,1,0,0,1
60,,6022.0,0.01892445,,4.7,318.0,2.5,0,0,0,0,0,0,0,1,0,0,0,0,1
62,13.79,1736.0,0.07276552,,7.8,591.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,1
68,13.79,1356.0,-0.037138913,3.0,3.0,150.0,1.8,0,0,0,0,0,0,0,1,0,0,0,0,1
70,11.03,679.0,0.09412965,5.0,13.3,,1.1,1,0,0,0,0,0,0,0,0,0,1,0,0
